SMILES,SMILES_state,NLL
O=C(NCc1ccc(Cl)cc1)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,1,21.59
O=C(O)C1(N2CCC3(CCCC3)O2)CCCC1,1,29.64
CCN(CC)CCCC(CO)N(CC)CC,1,24.98
O=C(NC1CCCN(c2ncccn2)C1)c1ccco1,1,20.7
Cc1ccc(CS(=O)(=O)Cc2ccccc2F)cc1,1,23.41
NC(=O)c1c[nH]c2c(C(F)(F)F)cccc2c1=Nc1cccc(OC2CCNC2)c1,1,29.42
Fc1ccccc1-c1cn2c(-c3ccccc3)cnc2cn1,1,22.32
CNC(C)C(=O)NC(C(=O)N1CCN(c2ccc(C(N)=O)c3ncncc23)CC1)C(C)C,1,30.83
CCOc1ccc(N=c2ccc(N3C(=O)c4cccc(C)c43)n[nH]2)cc1,1,41.68
CCOC(=O)N1CCN(C(=O)C2CCN(Cc3coc(-c4cccc(C(F)(F)F)c4)n3)CC2)CC1,1,29.9
COC(=O)NCCN1c2ccc(Cl)cc2N=C(c2ccccc2)CC1C,1,31.15
O=C(O)c1ccc(CN2CCC3CCCCC3C2=O)cc1,1,26.71
CCCCC(=O)Nc1sc(C)c(C)c1C(N)=O,1,22.37
CC1CCC(NC(=O)CNC(=O)c2ccc(Br)o2)CC1,1,22.25
CCN1CCCC1CNC(=O)c1ccc(N=Nc2c(-c3ccccc3)[nH][nH]c2=O)cc1,1,31.64
N=c1[nH]c(C(=O)O)c(Cl)s1,1,20.26
O=C(NCC1CCCCN1)c1ccccc1,1,23.06
N#Cc1c(N2CCN(Cc3ccccc3)CC2)[n+]([O-])c2c(C(F)(F)F)cccc2[n+]1[O-],1,33.75
CC12CCC3C(CC=C4c5cc(N)ccc5NCC43C)C1CCC2=O,1,29.05
CN1CCN(Nc2cc(N3CCN(S(=O)(=O)c4ccccc4)CC3)ncc2[N+](=O)[O-])CC1,1,29.19
Nc1c(Cl)cc(C(O)CNC(CO)Cc2ccc(OCc3c(F)cccc3F)cc2)cc1Cl,1,30.91
CC(C)c1ccc(NC(=O)Cn2c(=O)c3ccccc3n3cnnc3c2=O)cc1,1,30.09
O=C(NCCCCCO)c1ccc(O)c(O)c1O,1,25.47
COCCNC(=S)NN=Cc1ccc(Br)cc1,1,20.41
CCCCN1CC(=O)N2CC(O)(C(C)(C)C)CC2C1,1,29.88
Cc1ccc(C)n1C(C)c1ccc(OC(=O)CCn2cncn2)cc1,1,35.61
N#Cc1ccc(-c2cccc(C(CC(N)=O)C(=O)NC3(c4nc5cc(F)ccc5[nH]4)CCSCC3)c2)nc1,1,45.71
Cc1cc(S(=O)(=O)N2CCN(C(c3nnnn3CCc3ccncc3)C(C)C)CC2)ccc1F,1,31.96
CC(CCO)(NC(=O)Nc1ccccc1)c1ccccc1,1,25.0
C=CCOCC1CC2OC1CCC(C)C2OC1OCC(Cc2cccc(N=c3cc[nH]cc3)c2)C(O)C1O,1,65.67
CC(=O)NCCN1CC2CN(CCOCc3ccccc3)CC(C1)O2,1,25.74
CC(C)OC(=O)c1cccc(NC(=O)Nc2cccc3[nH]ncc23)c1,1,28.14
CCc1n[nH]c(=S)n1N=Cc1ccc(OC)c([N+](=O)[O-])c1,1,23.27
COc1ccccc1C1=NS(=O)(=O)c2c(C(C)C)nn(C)c2N1,1,26.08
Cc1c(NC(=O)c2cc(-c3ccc(F)cc3)n[nH]2)c(=O)n(-c2ccccc2)n1C,1,23.42
NS(=O)(=O)c1ccc(N=c2nc(Sc3ccccc3Br)[nH]c3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1,35.26
Cn1ncc(NCc2ccncc2)c1C(=O)N=c1cc[nH][nH]1,1,24.55
C=CC1(C)CCC(C2C(=C)C(C)(C)OC2=O)C=C1C(=O)O,1,36.49
Cc1ccccc1-n1cnc(-c2cccc(OCCN3CCCCC3)c2)c1-c1nc2cc([N+](=O)[O-])ccc2[nH]1,1,47.08
Cn1c(CSc2nc3ccc(C(=O)NNc4ccc([N+](=O)[O-])cc4)cc3[nH]2)cc2cc([N+](=O)[O-])ccc21,1,47.18
Cn1c(=O)c2nc(=O)n(-c3ccccc3)cc2n(C)c1=O,1,23.29
CCCCCCCCCCCCCCCC(=O)NCCC(N)=O,1,23.97
Cc1cc(C)nc(CNC(=O)c2cccc(S(=O)(=O)NC3CC3)c2)c1,1,29.99
CCn1c(=O)n(CC)c2cc(S(=O)(=O)N3CCC(C)CC3)ccc21,1,22.46
CCCCCNC(=O)Nc1cc(NC(=O)OC)ccc1OC,1,29.24
Cc1ccc(NC(=O)N2CCC(c3cccc4c3CCO4)CC2)cc1,1,26.5
CN(C)CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,1,19.29
COc1ccccc1-c1ccnc2ncnn12,1,21.72
Cc1c(-c2ccccc2)n(-c2ccccc2F)c2ncccc12,1,26.56
Cc1ccc(-c2cc(C#Cc3ccc(S(C)(=O)=O)cc3)nn2-c2ccccc2)cc1,1,24.48
O=C(Cc1ccccc1)N=c1[nH]cc([N+](=O)[O-])s1,1,21.04
CC(C)CC(NC(=O)C1Cc2ccccc2CN1)C(=O)NC(CCCNC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2[nH]1,1,36.11
CCCn1c(=O)n(C)c(=O)c2nc(-c3cccc(F)c3)cc(C)c21,1,29.12
CCCN(CCC)CCCOc1cc(O)c2c(=O)cc(-c3ccc(OCC(=O)NCCc4ccc(O)cc4)cc3)oc2c1,1,33.69
O=C(N=c1c2c([nH]c3ccccc13)CCCC2)c1ccccn1,1,24.85
Cc1ccc(N(C)C(=O)COC(=O)CCOc2ccccc2C)cc1,1,24.89
COc1ccc(Cn2ccc3nc(C)c(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc3c2=O)cc1,1,24.69
